zip_code,city,county
46933,Gas City,Grant
46935,Grass Creek,Fulton
46936,Greentown,Howard
46937,Hemlock,Howard
46938,Jonesboro,Grant
46939,Kewanna,Fulton
46940,La Fontaine,Wabash
46941,Lagro,Wabash
46942,Lake Cicott,Cass
46943,Laketon,Wabash
46945,Leiters Ford,Fulton
46946,Liberty Mills,Wabash
46947,Logansport,Cass
46950,Lucerne,Cass
46951,Macy,Miami
46952,Marion,Grant
46953,Marion,Grant
46957,Matthews,Grant
46958,Mexico,Miami
46959,Miami,Miami
46960,Monterey,Pulaski
46961,New Waverly,Cass
46962,North Manchester,Wabash
46965,Oakford,Howard
46967,Onward,Cass
46968,Ora,Starke
46970,Peru,Miami
46971,Grissom Arb,Miami
46974,Roann,Wabash
46975,Rochester,Fulton
46977,Rockfield,Carroll
46978,Royal Center,Cass
46979,Russiaville,Howard
46980,Servia,Wabash
46982,Silver Lake,Kosciusko
46984,Somerset,Wabash
46985,Star City,Pulaski
46986,Swayzee,Grant
46987,Sweetser,Grant
46988,Twelve Mile,Cass
46989,Upland,Grant
46990,Urbana,Wabash
46991,Van Buren,Grant
46992,Wabash,Wabash
46994,Walton,Cass
46995,West Middleton,Howard
46996,Winamac,Pulaski
46998,Young America,Cass
47001,Aurora,Dearborn
47003,West College Corner,Union
47006,Batesville,Ripley
47010,Bath,Franklin
47011,Bennington,Switzerland
47012,Brookville,Franklin
47016,Cedar Grove,Franklin
47017,Cross Plains,Ripley
47018,Dillsboro,Dearborn
47019,East Enterprise,Switzerland
47020,Florence,Switzerland
47021,Friendship,Ripley
47022,Guilford,Dearborn
47023,Holton,Ripley
47024,Laurel,Franklin
47025,Lawrenceburg,Dearborn
47030,Metamora,Franklin
47031,Milan,Ripley
47032,Moores Hill,Dearborn
47033,Morris,Ripley
47034,Napoleon,Ripley
47035,New Trenton,Franklin
47036,Oldenburg,Franklin
47037,Osgood,Ripley
47038,Patriot,Switzerland
47039,Pierceville,Ripley
47040,Rising Sun,Ohio
47041,Sunman,Ripley
47042,Versailles,Ripley
47043,Vevay,Switzerland
47060,West Harrison,Dearborn
47102,Austin,Scott
47104,Bethlehem,Clark
47106,Borden,Clark
47107,Bradford,Harrison
47108,Campbellsburg,Washington
47110,Central,Harrison
47111,Charlestown,Clark
47112,Corydon,Harrison
47114,Crandall,Harrison
47115,Depauw,Harrison
47116,Eckerty,Crawford
47117,Elizabeth,Harrison
47118,English,Crawford
47119,Floyds Knobs,Floyd
47120,Fredericksburg,Washington
47122,Georgetown,Floyd
47123,Grantsburg,Crawford
47124,Greenville,Floyd
47125,Hardinsburg,Washington
47126,Henryville,Clark
47129,Clarksville,Clark
47130,Jeffersonville,Clark
47131,Jeffersonville,Clark
47132,Jeffersonville,Clark
47133,Jeffersonville,Clark
47134,Jeffersonville,Clark
47135,Laconia,Harrison
47136,Lanesville,Harrison
47137,Leavenworth,Crawford
47138,Lexington,Scott
47139,Little York,Washington
47140,Marengo,Crawford
47141,Marysville,Clark
47142,Mauckport,Harrison
47143,Memphis,Clark
47144,Jeffersonville,Clark
47145,Milltown,Crawford
47146,Mount Saint Francis,Floyd
47147,Nabb,Clark
47150,New Albany,Floyd
47151,New Albany,Floyd
47160,New Middletown,Harrison
47161,New Salisbury,Harrison
47162,New Washington,Clark
47163,Otisco,Clark
47164,Palmyra,Harrison
47165,Pekin,Washington
47166,Ramsey,Harrison
47167,Salem,Washington
47170,Scottsburg,Scott
47172,Sellersburg,Clark
47174,Sulphur,Crawford
47175,Taswell,Crawford
47177,Underwood,Scott
47190,Jeffersonville,Clark
47199,Jeffersonville,Clark
47201,Columbus,Bartholomew
47202,Columbus,Bartholomew
47203,Columbus,Bartholomew
47220,Brownstown,Jackson
47223,Butlerville,Jennings
47224,Canaan,Jefferson
47225,Clarksburg,Decatur
47226,Clifford,Bartholomew
47227,Commiskey,Jennings
47228,Cortland,Jackson
47229,Crothersville,Jackson
47230,Deputy,Jefferson
47231,Dupont,Jefferson
47232,Elizabethtown,Bartholomew
47234,Flat Rock,Shelby
47235,Freetown,Jackson
47236,Grammer,Bartholomew
47240,Greensburg,Decatur
47243,Hanover,Jefferson
47244,Hartsville,Bartholomew
47245,Hayden,Jennings
47246,Hope,Bartholomew
47247,Jonesville,Bartholomew
47249,Kurtz,Jackson
47250,Madison,Jefferson
47260,Medora,Jackson
47261,Millhousen,Decatur
47263,New Point,Decatur
47264,Norman,Jackson
47265,North Vernon,Jennings
47270,Paris Crossing,Jennings
47272,Saint Paul,Decatur
47273,Scipio,Jennings
47274,Seymour,Jackson
47280,Taylorsville,Bartholomew
47281,Vallonia,Jackson
47282,Vernon,Jennings
47283,Westport,Decatur
